,0
0,Algeria
1,Angola
2,Benin
3,Botswana
4,Burkina Faso
5,Burundi
6,Cape Verde
7,Cameroon
8,Central African Republic
9,Chad
10,Comoros
11,Democratic Republic Of The Congo
12,Republic Of The Congo
13,Cote D'Ivoire
14,Djibouti
15,Egypt
16,Equatorial Guinea
17,Eritrea
18,Eswatini
19,Ethiopia
20,Gabon
21,Gambia
22,Ghana
23,Guinea
24,Guinea-Bissau
25,Kenya
26,Lesotho
27,Liberia
28,Libya
29,Madagascar
30,Malawi
31,Mali
32,Mauritania
33,Mauritius
34,Morocco
35,Mozambique
36,Niger
37,Nigeria
38,Rwanda
39,Sao Tome And Principe
40,Senegal
41,Seychelles
42,Sierra Leone
43,Somalia
44,South Africa
45,South Sudan
46,Sudan
47,Tanzania
48,Togo
49,Tunisia
50,Uganda
51,Zambia
52,Zimbabwe
53,Reunion
